,amenities
10,"{tv,""cable tv"",internet,wifi,kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""host greets you""}"
11,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""baby monitor"",""outlet covers"",bathtub,""baby bath"",""changing table"",""high chair"",""children’s books and toys"",crib,""pack ’n play/travel crib"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",other}"
12,"{tv,internet,wifi,""free parking on premises"",""pets live on this property"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""single level home"",""patio or balcony"",""long term stays allowed""}"
13,"{""cable tv"",internet,wifi,""free parking on premises"",""smoking allowed"",""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""translation missing: en.hosting_amenity_49"",""coffee maker"",""dishes and silverware""}"
14,"{wifi,kitchen,""free parking on premises"",""pets live on this property"",cat(s),""other pet(s)"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",microwave,""coffee maker"",""dishes and silverware""}"
15,"{internet,wifi,""air conditioning"",kitchen,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",lockbox,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed""}"
16,"{wifi,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout"",""host greets you""}"
17,"{wifi,""air conditioning"",kitchen,""free street parking"",heating,""smoke alarm"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",""smart lock"",""hot water"",""garden or backyard"",""long term stays allowed""}"
18,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,bathtub,""children’s books and toys"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
19,"{internet,wifi,""pets live on this property"",dog(s),""free street parking"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""self check-in"",""building staff"",""private living room"",""private entrance"",""hot water"",""coffee maker"",""garden or backyard""}"
20,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,bathtub,""hot water""}"
21,"{tv,""cable tv"",internet,wifi,""free parking on premises"",""pets allowed"",heating,essentials,shampoo,hangers,""hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
22,"{tv,""cable tv"",internet,wifi,""air conditioning"",""wheelchair accessible"",kitchen,""free parking on premises"",elevator,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""pack ’n play/travel crib"",""room-darkening shades"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""long term stays allowed"",""host greets you""}"
23,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",hangers,""hair dryer"",iron}"
24,"{internet,wifi,breakfast,""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",""smoke alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""hair dryer"",""self check-in"",keypad,""hot water"",refrigerator,""luggage dropoff allowed"",""long term stays allowed""}"
25,"{internet,wifi,""air conditioning"",kitchen,breakfast,""free street parking"",""indoor fireplace"",heating,""smoke alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""garden or backyard"",other}"
26,"{tv,""cable tv"",internet,wifi,""air conditioning"",""wheelchair accessible"",kitchen,""free parking on premises"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",bathtub,""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""cooking basics"",oven,stove,""bbq grill"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",other}"
27,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",gym,breakfast,""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",crib,""pack ’n play/travel crib"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
28,"{wifi,kitchen,""free parking on premises"",""free street parking"",heating,""smoke alarm"",""fire extinguisher"",essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",microwave,refrigerator,""dishes and silverware"",""cooking basics"",""garden or backyard"",other}"
29,"{wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,""smoke alarm"",""fire extinguisher"",essentials,shampoo,""translation missing: en.hosting_amenity_49"",""hot water"",""extra pillows and blankets"",refrigerator,other}"
30,"{internet,wifi,kitchen,""free parking on premises"",""hot tub"",heating,washer,dryer,""host greets you""}"
31,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,iron,""laptop-friendly workspace"",""self check-in"",lockbox}"
32,"{tv,wifi,kitchen,""free parking on premises"",""pets allowed"",washer/dryer,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""hair dryer"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""host greets you""}"
33,"{tv,""cable tv"",internet,wifi,""wheelchair accessible"",kitchen,""free parking on premises"",""smoking allowed"",""free street parking"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,""smoke alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""long term stays allowed"",""host greets you""}"
34,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""pets live on this property"",dog(s),""free street parking"",""indoor fireplace"",""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,""hair dryer"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
35,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""pets allowed"",""pets live on this property"",dog(s),cat(s),heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",hangers,iron,""laptop-friendly workspace"",""self check-in"",""building staff"",crib,""hot water""}"
36,"{wifi,kitchen,""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance"",""hot water"",""host greets you""}"
37,"{tv,internet,wifi,pool,""pets live on this property"",dog(s),""free street parking"",""hot tub"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""hot water"",microwave,refrigerator,""dishes and silverware"",""luggage dropoff allowed"",""cleaning before checkout""}"
38,"{wifi,""free parking on premises"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
39,"{internet,wifi,""air conditioning"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,""lock on bedroom door"",""hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""hot water"",""luggage dropoff allowed"",""long term stays allowed""}"
40,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""children’s books and toys"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
41,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""shower gel"",""baking sheet"",""barbecue utensils"",""bread maker""}"
42,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""pets live on this property"",dog(s),""free street parking"",heating,washer,dryer,""smoke alarm"",essentials,hangers,iron,""laptop-friendly workspace"",""private entrance"",""hot water"",dishwasher,""luggage dropoff allowed"",""long term stays allowed"",other}"
43,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""hair dryer"",""self check-in"",keypad,""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove}"
44,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""smoking allowed"",""pets live on this property"",dog(s),""free street parking"",""indoor fireplace"",heating,""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
45,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""pets allowed"",""pets live on this property"",dog(s),cat(s),""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",oven,stove,""host greets you""}"
46,"{tv,""cable tv"",internet,wifi,""air conditioning"",""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",microwave,""coffee maker"",refrigerator,""single level home"",""patio or balcony"",""garden or backyard"",""long term stays allowed""}"
47,"{tv,""cable tv"",internet,wifi,""free parking on premises"",""pets live on this property"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,dishwasher,""dishes and silverware"",oven,stove,""patio or balcony"",""garden or backyard"",""long term stays allowed""}"
48,"{tv,internet,wifi,""free parking on premises"",""pets live on this property"",dog(s),""free street parking"",""indoor fireplace"",heating,washer,dryer,essentials,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""private entrance"",""hot water""}"
49,"{wifi,""free parking on premises"",heating,essentials,""lock on bedroom door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",other}"
50,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""smoking allowed"",""pets live on this property"",dog(s),""free street parking"",""indoor fireplace"",heating,""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""patio or balcony"",""luggage dropoff allowed"",""long term stays allowed""}"
51,"{tv,""cable tv"",wifi,kitchen,""free street parking"",heating,washer,dryer,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""shower gel""}"
52,"{tv,internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
53,"{tv,internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
54,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",gym,""hot tub"",heating,washer,dryer,microwave,""coffee maker"",refrigerator}"
55,"{internet,wifi,kitchen,""free parking on premises"",""pets allowed"",breakfast,""pets live on this property"",dog(s),cat(s),""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",other}"
56,"{wifi,kitchen,""free parking on premises"",""pets allowed"",breakfast,""pets live on this property"",dog(s),cat(s),""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,bathtub,""children’s books and toys"",""hot water"",""bed linens"",""extra pillows and blankets"",""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
57,"{tv,internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",hangers,""hair dryer"",iron,""hot water""}"
58,"{internet,wifi,pool,kitchen,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",other}"
59,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""free street parking"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,iron,""laptop-friendly workspace"",""self check-in"",lockbox,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""beach essentials"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
60,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,""free parking on premises"",breakfast,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",""pocket wifi"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed""}"
61,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",breakfast,""free street parking"",""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""luggage dropoff allowed"",""long term stays allowed""}"
62,"{internet,wifi,""air conditioning"",""free parking on premises"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""self check-in"",lockbox}"
63,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",refrigerator}"
64,"{tv,internet,wifi,""air conditioning"",kitchen,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""hot water"",microwave,refrigerator}"
65,"{wifi,""air conditioning"",""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""host greets you""}"
66,"{internet,wifi,pool,kitchen,""free parking on premises"",elevator,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed""}"
